,text,emotions
18,Feeling drained but also weirdly relieved that my period finally came. Time for self-care.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 1, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 1, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 1, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 1, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0, 'Relief': 1}"
19,Starting this new job has me feeling anxious but also hopeful. It's scary and exciting at the same time.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 1, 'Productivity': 0, 'Clarity': 1, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 1}"
20,Had a fight with my partner and feeling so hurt and misunderstood. Why is communication so hard?,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 1, 'Tearfulness': 0, 'Low self-esteem': 1, 'Loneliness or Isolation': 1, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 1, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
21,Everything feels possible today. Started two new projects and signed up for that class.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 1, 'Sociability': 0, 'Empowerment': 1, 'Motivation': 1, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 1, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 1, 'Sexual drive': 1, 'Feeling in control': 0}"
22,Started exercising again and the endorphins are real! Feeling motivated and strong.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 1, 'High energy': 0, 'Sociability': 1, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
23,Started exercising again and the endorphins are real! Feeling motivated and strong.,"{'Improved mood': 1, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 1, 'High energy': 0, 'Sociability': 0, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 1}"
24,"Becoming a mom has brought so many emotions - joy, fear, overwhelming love, and complete exhaustion.","{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 1, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
25,Had a fight with my partner and feeling very hurt and misunderstood. Why is communication so hard?,"{'Improved mood': 0, 'Hopefulness': 1, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 1, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0, 'Gratitude': 1, 'Relief': 1}"
26,"My best friend just gets me. After our talk, I feel supported and understood.","{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 1, 'Productivity': 0, 'Clarity': 1, 'Confidence': 1, 'High energy': 0, 'Sociability': 0, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 1}"
27,Finally went to therapy and going through vulnerable but proud of myself for taking this step.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 1, 'Anxiety': 1, 'Sensitivity to rejection': 0, 'Restlessness': 1, 'Emotional sensitivity': 1, 'Physical discomfort': 1, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
28,"Becoming a mom has brought incredibly many emotions - joy, fear, overwhelming love, and complete exhaustion.","{'Improved mood': 0, 'Hopefulness': 1, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 1, 'Sensitivity to rejection': 0, 'Restlessness': 1, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
29,Starting this new job has me feeling anxious but alreally hopeful. It's scary and exciting at the same time.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 1, 'Tearfulness': 1, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0, 'Relief': 1}"
30,Dating in my 30s is exhausting. Feeling lonely but trying to stay hopeful.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 1, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 1, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 1, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 1, 'Physical discomfort': 1, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
31,"Becoming a mom has brought really many emotions - joy, fear, overwhelming love, and complete exhaustion.","{'Improved mood': 1, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 1, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 1, 'Gratitude': 1, 'Relief': 1}"
32,Took a mental health day and already feeling more in control. Sometimes you just need to pause.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 1, 'High energy': 1, 'Sociability': 1, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 1, 'Physical discomfort': 0, 'Attractiveness': 1, 'Sexual drive': 1, 'Feeling in control': 0}"
33,"Going through menopause and these mood swings are intense. One moment I'm fine, the next I'm furious.","{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 1, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 1, 'Tearfulness': 0, 'Low self-esteem': 1, 'Loneliness or Isolation': 1, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 1, 'Anxiety': 0, 'Sensitivity to rejection': 1, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
34,Started exercising again and the endorphins are real! Feeling motivated and strong.,"{'Improved mood': 0, 'Hopefulness': 1, 'Renewed energy': 0, 'Optimism': 1, 'Productivity': 1, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 1, 'Mood swings': 0, 'Anxiety': 1, 'Sensitivity to rejection': 1, 'Restlessness': 1, 'Emotional sensitivity': 1, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 0, 'Feeling in control': 0}"
35,Starting this new job has me going through anxious but alquite hopeful. It's scary and exciting at the same time.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 1, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 1, 'Anxiety': 1, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 1, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 1, 'Feeling in control': 0}"
36,Dating in my 30s is exhausting. Feeling lonely but trying to stay hopeful.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 0, 'High energy': 0, 'Sociability': 0, 'Empowerment': 0, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 1, 'Low self-esteem': 1, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 1, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 1, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 1, 'Physical discomfort': 0, 'Attractiveness': 0, 'Sexual drive': 1, 'Feeling in control': 0, 'Relief': 1}"
37,Started exercising again and the endorphins are real! Feeling motivated and strong.,"{'Improved mood': 0, 'Hopefulness': 0, 'Renewed energy': 0, 'Optimism': 0, 'Productivity': 0, 'Clarity': 0, 'Confidence': 1, 'High energy': 1, 'Sociability': 1, 'Empowerment': 1, 'Motivation': 0, 'Sadness': 0, 'Tearfulness': 0, 'Low self-esteem': 0, 'Loneliness or Isolation': 0, 'Feeling overwhelmed': 0, 'Anger or frustration': 0, 'Irritability': 0, 'Mood swings': 0, 'Anxiety': 0, 'Sensitivity to rejection': 0, 'Restlessness': 0, 'Emotional sensitivity': 0, 'Physical discomfort': 0, 'Attractiveness': 1, 'Sexual drive': 1, 'Feeling in control': 0}"
